Time,RobotMode,AutoToRun,LoopTime,BatteryVoltage,Gyro,LeftMotor,LeftEncoder,RightMotor,RightEncoder,PIDTarget,PIDCurrent,PIDINPosition,ElevatorMotorValue,ElevatorAmperage,TopOvertravel,ButtomOvertravel,PIDCurrentState,AutoStackState,GripperState,CompressorStatus,CompressorAmperage
08:05:20.126 PM 03/26/2015,Teleop Enabled,0.000000,20.000000,12.700000,0.279238,-0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,FALSE,0.300000,0.000000,TRUE,TRUE,ResetBack,Disabled,FALSE,TRUE,15.437500
08:05:20.226 PM 03/26/2015,Teleop Enabled,0.000000,21.000000,12.650000,0.268628,-0.000000,0.000000,0.000000,0.000000,0.000000,14.000000,FALSE,0.300000,3.375000,TRUE,TRUE,ResetBack,Disabled,FALSE,TRUE,8.593750
08:05:20.327 PM 03/26/2015,Teleop Enabled,0.000000,20.000000,12.700000,0.259916,-0.000000,0.000000,0.000000,0.000000,0.000000,23.000000,FALSE,0.300000,2.625000,TRUE,TRUE,ResetBack,Disabled,FALSE,TRUE,8.312500
08:05:20.428 PM 03/26/2015,Teleop Enabled,0.000000,21.000000,12.650000,0.254895,-0.000000,0.000000,0.000000,0.000000,0.000000,32.000000,FALSE,0.000000,3.250000,TRUE,TRUE,ZeroEncoderAndTarget,Disabled,FALSE,TRUE,8.468750
08:05:20.529 PM 03/26/2015,Teleop Enabled,0.000000,18.000000,10.750000,0.260384,-0.000000,0.000000,0.000000,0.000000,0.000000,-8.250000,FALSE,0.566500,7.125000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,7.687500
08:05:20.630 PM 03/26/2015,Teleop Enabled,0.000000,20.000000,12.650000,0.255695,-0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,TRUE,-0.154625,48.875000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,8.937500
08:05:20.730 PM 03/26/2015,Teleop Enabled,0.000000,20.000000,12.700000,0.260808,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.500000,TRUE,0.087875,3.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,8.468750
08:05:20.833 PM 03/26/2015,Teleop Enabled,0.000000,21.000000,12.700000,0.255158,-0.000000,0.000000,0.000000,0.000000,0.000000,-1.500000,TRUE,0.033875,3.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,8.468750
08:05:20.933 PM 03/26/2015,Teleop Enabled,0.000000,21.000000,12.700000,0.248565,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.500000,TRUE,0.038750,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,8.500000
08:05:21.035 PM 03/26/2015,Teleop Enabled,0.000000,20.000000,12.700000,0.246794,-0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,TRUE,0.058875,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,8.562500
08:05:21.136 PM 03/26/2015,Teleop Enabled,0.000000,20.000000,12.700000,0.240663,-0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,TRUE,0.061375,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,8.562500
08:05:21.236 PM 03/26/2015,Teleop Enabled,0.000000,21.000000,12.650000,0.237426,-0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,TRUE,0.063875,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,8.500000
08:05:21.337 PM 03/26/2015,Teleop Enabled,0.000000,20.000000,12.700000,0.228850,-0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,TRUE,0.066375,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,8.593750
08:05:21.437 PM 03/26/2015,Teleop Enabled,0.000000,21.000000,12.650000,0.238431,-0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,TRUE,0.068875,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,8.562500
08:05:21.538 PM 03/26/2015,Teleop Enabled,0.000000,21.000000,12.700000,0.250742,-0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,TRUE,0.071375,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,8.562500
08:05:21.638 PM 03/26/2015,Teleop Enabled,0.000000,21.000000,12.650000,0.240656,-0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,TRUE,0.073875,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,8.593750
08:05:21.739 PM 03/26/2015,Teleop Enabled,0.000000,20.000000,12.700000,0.243828,-0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,TRUE,0.076375,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,8.562500
08:05:21.840 PM 03/26/2015,Teleop Enabled,0.000000,20.000000,12.700000,0.245649,-0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,TRUE,0.078875,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,8.656250
08:05:21.940 PM 03/26/2015,Teleop Enabled,0.000000,19.000000,12.700000,0.241678,-0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,TRUE,0.081375,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,8.562500
08:05:22.041 PM 03/26/2015,Teleop Enabled,0.000000,20.000000,12.700000,0.238352,-0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,TRUE,0.083875,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,8.656250
08:05:22.143 PM 03/26/2015,Teleop Enabled,0.000000,20.000000,12.700000,0.237887,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.750000,TRUE,0.058500,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,8.656250
08:05:22.243 PM 03/26/2015,Teleop Enabled,0.000000,20.000000,12.600000,0.234838,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.750000,TRUE,1.000000,0.000000,TRUE,TRUE,ManualControl,Disabled,FALSE,TRUE,8.593750
08:05:22.345 PM 03/26/2015,Teleop Enabled,0.000000,19.000000,12.100000,0.241845,-0.000000,0.000000,0.000000,0.000000,18.000000,18.000000,FALSE,0.000000,0.000000,TRUE,TRUE,ManualControl,Disabled,FALSE,TRUE,8.218750
08:05:22.446 PM 03/26/2015,Teleop Enabled,0.000000,20.000000,11.950000,0.230135,-0.000000,0.000000,0.000000,0.000000,18.000000,27.250000,FALSE,-0.433500,16.750000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,8.125000
08:05:22.547 PM 03/26/2015,Teleop Enabled,0.000000,20.000000,12.350000,0.253829,-0.000000,0.000000,0.000000,0.000000,18.000000,6.500000,FALSE,0.593500,34.375000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,8.781250
