Time,RobotMode,AutoToRun,LoopTime,BatteryVoltage,Gyro,LeftMotor,LeftEncoder,RightMotor,RightEncoder,PIDTarget,PIDCurrent,PIDINPosition,ElevatorMotorValue,ElevatorAmperage,TopOvertravel,ButtomOvertravel,PIDCurrentState,AutoStackState,GripperState,CompressorStatus,CompressorAmperage
10:28:37.528 AM 03/28/2015,Teleop Enabled,0.000000,20.000000,12.400000,0.790255,-0.000000,0.392699,0.000000,-0.157080,-0.250000,1.750000,TRUE,0.300000,0.000000,TRUE,TRUE,ResetBack,Disabled,FALSE,FALSE,0.000000
10:28:37.630 AM 03/28/2015,Teleop Enabled,0.000000,25.000000,12.200000,0.773996,-0.000000,0.392699,0.000000,-0.157080,-0.250000,10.500000,FALSE,0.300000,3.125000,TRUE,TRUE,ResetBack,Disabled,FALSE,TRUE,14.843750
10:28:37.730 AM 03/28/2015,Teleop Enabled,0.000000,21.000000,12.300000,0.781778,-0.000000,0.392699,0.000000,-0.157080,-0.250000,18.750000,FALSE,0.300000,3.375000,TRUE,TRUE,ResetBack,Disabled,FALSE,TRUE,6.250000
10:28:37.831 AM 03/28/2015,Teleop Enabled,0.000000,20.000000,12.250000,0.771316,-0.000000,0.392699,0.000000,-0.157080,-0.250000,27.750000,FALSE,0.300000,2.625000,TRUE,TRUE,ResetBack,Disabled,FALSE,TRUE,6.281250
10:28:37.931 AM 03/28/2015,Teleop Enabled,0.000000,20.000000,10.900000,0.777413,-0.000000,0.392699,0.000000,-0.157080,0.000000,-3.000000,TRUE,1.000000,3.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,5.531250
10:28:38.032 AM 03/28/2015,Teleop Enabled,0.000000,20.000000,11.550000,0.769521,-0.000000,0.392699,0.000000,-0.157080,0.000000,0.000000,FALSE,-0.065375,42.375000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,6.062500
10:28:38.133 AM 03/28/2015,Teleop Enabled,0.000000,20.000000,12.150000,0.783227,-0.000000,0.392699,0.000000,-0.157080,0.000000,1.000000,FALSE,0.002500,5.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,6.468750
10:28:38.235 AM 03/28/2015,Teleop Enabled,0.000000,20.000000,12.100000,0.781245,-0.000000,0.392699,0.000000,-0.157080,0.000000,-2.750000,FALSE,0.082375,2.625000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,6.468750
10:28:38.336 AM 03/28/2015,Teleop Enabled,0.000000,21.000000,12.150000,0.781098,-0.000000,0.392699,0.000000,-0.157080,0.000000,-1.000000,TRUE,0.052625,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,6.625000
10:28:38.436 AM 03/28/2015,Teleop Enabled,0.000000,21.000000,12.150000,0.783757,-0.000000,0.392699,0.000000,-0.157080,0.000000,-1.000000,TRUE,0.054375,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,6.625000
10:28:38.536 AM 03/28/2015,Teleop Enabled,0.000000,20.000000,12.150000,0.779054,-0.000000,0.392699,0.000000,-0.157080,0.000000,-1.000000,TRUE,0.056875,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,6.687500
10:28:38.637 AM 03/28/2015,Teleop Enabled,0.000000,19.000000,12.150000,0.788525,-0.000000,0.392699,0.000000,-0.157080,0.000000,-1.000000,TRUE,0.059375,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,6.718750
10:28:38.737 AM 03/28/2015,Teleop Enabled,0.000000,20.000000,12.250000,0.780866,-0.000000,0.392699,0.000000,-0.157080,0.000000,-1.000000,TRUE,0.061875,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,6.812500
10:28:38.838 AM 03/28/2015,Teleop Enabled,0.000000,19.000000,12.200000,0.784872,-0.000000,0.392699,0.000000,-0.157080,0.000000,-1.000000,TRUE,0.064375,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,6.781250
10:28:38.939 AM 03/28/2015,Teleop Enabled,0.000000,23.000000,12.250000,0.789910,-0.000000,0.392699,0.000000,-0.157080,0.000000,-1.000000,TRUE,0.066875,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,6.812500
10:28:39.040 AM 03/28/2015,Teleop Enabled,0.000000,20.000000,12.250000,0.789937,-0.000000,0.392699,0.000000,-0.157080,0.000000,-1.000000,TRUE,0.069375,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,7.000000
10:28:39.140 AM 03/28/2015,Teleop Enabled,0.000000,21.000000,12.150000,0.788915,-0.000000,0.392699,0.000000,-0.157080,0.000000,-1.000000,TRUE,0.071875,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,6.968750
10:28:39.241 AM 03/28/2015,Teleop Enabled,0.000000,20.000000,12.150000,0.791489,-0.000000,0.392699,0.000000,-0.157080,0.000000,-1.000000,TRUE,0.074375,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,6.906250
10:28:39.341 AM 03/28/2015,Teleop Enabled,0.000000,21.000000,12.150000,0.795973,-0.000000,0.392699,0.000000,-0.157080,0.000000,-1.000000,TRUE,0.076875,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,7.000000
10:28:39.441 AM 03/28/2015,Teleop Enabled,0.000000,21.000000,12.150000,0.802211,-0.000000,0.392699,0.000000,-0.157080,0.000000,-1.000000,TRUE,0.079375,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,7.156250
10:28:39.541 AM 03/28/2015,Teleop Enabled,0.000000,21.000000,12.150000,0.812694,-0.000000,0.392699,0.000000,-0.157080,0.000000,-1.000000,TRUE,0.081875,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,6.906250
10:28:39.642 AM 03/28/2015,Teleop Enabled,0.000000,20.000000,12.200000,0.809949,-0.000000,0.392699,0.000000,-0.157080,0.000000,-1.000000,TRUE,0.084375,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,7.156250
10:28:39.743 AM 03/28/2015,Teleop Enabled,0.000000,21.000000,12.150000,0.812229,-0.000000,0.392699,0.000000,-0.157080,0.000000,-0.750000,TRUE,0.086875,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,7.250000
10:28:39.843 AM 03/28/2015,Teleop Enabled,0.000000,21.000000,12.200000,0.818521,-0.000000,0.392699,0.000000,-0.157080,0.000000,-0.750000,TRUE,0.080125,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,7.093750
10:28:39.944 AM 03/28/2015,Teleop Enabled,0.000000,20.000000,12.150000,0.825039,-0.000000,0.392699,0.000000,-0.157080,0.000000,-0.750000,TRUE,0.082000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,7.218750
10:28:40.045 AM 03/28/2015,Teleop Enabled,0.000000,21.000000,12.200000,0.830778,-0.000000,0.392699,0.000000,-0.157080,0.000000,-0.750000,TRUE,0.083875,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,7.250000
10:28:40.146 AM 03/28/2015,Teleop Enabled,0.000000,19.000000,12.150000,0.836538,-0.000000,0.392699,0.000000,-0.157080,0.000000,-0.750000,TRUE,0.085750,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,7.218750
10:28:40.247 AM 03/28/2015,Teleop Enabled,0.000000,19.000000,12.150000,0.837577,-0.000000,0.392699,0.000000,-0.157080,0.000000,-0.750000,TRUE,0.087625,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,7.343750
10:28:40.348 AM 03/28/2015,Teleop Enabled,0.000000,19.000000,12.150000,0.842529,-0.000000,0.392699,0.000000,-0.157080,0.000000,-0.750000,TRUE,0.089500,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,7.343750
10:28:40.448 AM 03/28/2015,Teleop Enabled,0.000000,20.000000,12.150000,0.836107,-0.000000,0.392699,0.000000,-0.157080,0.000000,-0.750000,TRUE,0.091375,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,7.406250
10:28:40.548 AM 03/28/2015,Teleop Enabled,0.000000,21.000000,12.100000,0.848695,-0.000000,0.392699,0.000000,-0.157080,0.000000,-0.750000,TRUE,0.093250,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,7.500000
10:28:40.648 AM 03/28/2015,Teleop Enabled,0.000000,21.000000,12.150000,0.842874,-0.000000,0.392699,0.000000,-0.157080,0.000000,-0.750000,TRUE,0.095125,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,7.343750
10:28:40.748 AM 03/28/2015,Teleop Enabled,0.000000,19.000000,12.150000,0.844371,-0.000000,0.392699,0.000000,-0.157080,0.000000,-0.750000,TRUE,0.097000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,7.406250
10:28:40.849 AM 03/28/2015,Teleop Enabled,0.000000,21.000000,12.100000,0.845288,-0.000000,0.392699,0.000000,-0.157080,0.000000,-0.750000,TRUE,0.098875,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,7.437500
10:28:40.949 AM 03/28/2015,Teleop Enabled,0.000000,20.000000,12.150000,0.846149,-0.000000,0.392699,0.000000,-0.157080,0.000000,-0.750000,TRUE,0.100750,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,7.500000
10:28:41.050 AM 03/28/2015,Teleop Enabled,0.000000,20.000000,12.100000,0.849157,-0.000000,0.392699,0.000000,-0.157080,0.000000,-0.250000,TRUE,0.093375,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,7.531250
