Time,RobotMode,AutoToRun,LoopTime,BatteryVoltage,Gyro,LeftMotor,LeftEncoder,RightMotor,RightEncoder,PIDTarget,PIDCurrent,PIDINPosition,ElevatorMotorValue,ElevatorAmperage,TopOvertravel,ButtomOvertravel,PIDCurrentState,AutoStackState,GripperState,CompressorStatus,CompressorAmperage
03:18:40.176 PM 02/28/2015,Teleop Enabled,0.000000,20.000000,11.750000,1.174797,-0.000000,0.000000,0.000000,0.000000,0.000000,-16.750000,FALSE,-0.500000,8.125000,TRUE,TRUE,ResetForward,Disabled,FALSE,TRUE,0.000000
03:18:40.278 PM 02/28/2015,Teleop Enabled,0.000000,20.000000,12.250000,1.165719,-0.000000,0.000000,0.000000,0.000000,0.000000,-36.000000,FALSE,-0.500000,2.250000,TRUE,TRUE,ResetForward,Disabled,FALSE,TRUE,11.812500
03:18:40.379 PM 02/28/2015,Teleop Enabled,0.000000,20.000000,12.250000,1.164902,-0.000000,0.000000,0.000000,0.000000,0.000000,-55.750000,FALSE,-0.500000,2.250000,TRUE,TRUE,ResetForward,Disabled,FALSE,TRUE,9.750000
03:18:40.479 PM 02/28/2015,Teleop Enabled,0.000000,21.000000,12.250000,1.166888,-0.000000,0.000000,0.000000,0.000000,0.000000,-75.500000,FALSE,-0.500000,2.250000,TRUE,TRUE,ResetForward,Disabled,FALSE,TRUE,9.718750
03:18:40.579 PM 02/28/2015,Teleop Enabled,0.000000,20.000000,12.250000,1.170080,-0.000000,0.000000,0.000000,0.000000,0.000000,-95.000000,FALSE,-0.500000,2.250000,TRUE,TRUE,ResetForward,Disabled,FALSE,TRUE,9.718750
03:18:40.681 PM 02/28/2015,Teleop Enabled,0.000000,20.000000,12.150000,1.156429,-0.000000,0.000000,0.000000,0.000000,0.000000,-114.750000,FALSE,-0.500000,2.250000,TRUE,TRUE,ResetForward,Disabled,FALSE,TRUE,9.718750
03:18:40.781 PM 02/28/2015,Teleop Enabled,0.000000,21.000000,12.150000,1.163599,-0.000000,0.000000,0.000000,0.000000,0.000000,-130.500000,FALSE,-0.500000,2.250000,TRUE,TRUE,ResetForward,Disabled,FALSE,TRUE,9.750000
03:18:40.882 PM 02/28/2015,Teleop Enabled,0.000000,21.000000,12.200000,1.167684,-0.000000,0.000000,0.000000,0.000000,0.000000,-150.500000,FALSE,-0.500000,2.250000,TRUE,TRUE,ResetForward,Disabled,FALSE,TRUE,9.750000
03:18:40.983 PM 02/28/2015,Teleop Enabled,0.000000,21.000000,12.200000,1.169930,-0.000000,0.000000,0.000000,0.000000,0.000000,-174.000000,FALSE,-0.500000,2.250000,TRUE,TRUE,ResetForward,Disabled,FALSE,TRUE,9.812500
03:18:41.083 PM 02/28/2015,Teleop Enabled,0.000000,20.000000,12.150000,1.168330,-0.000000,0.000000,0.000000,0.000000,0.000000,-193.500000,FALSE,-0.500000,2.250000,TRUE,TRUE,ResetForward,Disabled,FALSE,TRUE,9.812500
03:18:41.183 PM 02/28/2015,Teleop Enabled,0.000000,27.000000,12.200000,1.164143,-0.000000,0.000000,0.000000,0.000000,0.000000,-214.500000,FALSE,-0.500000,2.250000,TRUE,TRUE,ResetForward,Disabled,FALSE,TRUE,9.750000
03:18:41.283 PM 02/28/2015,Teleop Enabled,0.000000,15.000000,12.200000,1.176075,-0.000000,0.000000,0.000000,0.000000,0.000000,-230.000000,FALSE,-0.500000,2.250000,TRUE,TRUE,ResetForward,Disabled,FALSE,TRUE,9.750000
03:18:41.384 PM 02/28/2015,Teleop Enabled,0.000000,31.000000,12.250000,1.163822,-0.000000,0.000000,0.000000,0.000000,0.000000,-254.500000,FALSE,-0.500000,2.250000,TRUE,TRUE,ResetForward,Disabled,FALSE,TRUE,9.812500
03:18:41.485 PM 02/28/2015,Teleop Enabled,0.000000,30.000000,12.250000,1.165090,-0.000000,0.000000,0.000000,0.000000,0.000000,-274.500000,FALSE,-0.500000,2.250000,TRUE,TRUE,ResetForward,Disabled,FALSE,TRUE,9.812500
03:18:41.585 PM 02/28/2015,Teleop Enabled,0.000000,31.000000,12.200000,1.160489,-0.000000,0.000000,0.000000,0.000000,0.000000,-294.000000,FALSE,-0.500000,2.250000,TRUE,TRUE,ResetForward,Disabled,FALSE,TRUE,9.750000
03:18:41.686 PM 02/28/2015,Teleop Enabled,0.000000,26.000000,12.150000,1.165062,-0.000000,0.000000,0.000000,0.000000,0.000000,-312.750000,FALSE,-0.500000,2.250000,TRUE,TRUE,ResetForward,Disabled,FALSE,TRUE,9.750000
03:18:41.787 PM 02/28/2015,Teleop Enabled,0.000000,21.000000,12.150000,1.165469,-0.000000,0.000000,0.000000,0.000000,0.000000,-331.250000,FALSE,-0.500000,2.250000,TRUE,TRUE,ResetForward,Disabled,FALSE,TRUE,9.812500
03:18:41.888 PM 02/28/2015,Teleop Enabled,0.000000,29.000000,12.150000,1.169359,-0.000000,0.000000,0.000000,0.000000,0.000000,-353.000000,FALSE,-0.500000,2.250000,TRUE,TRUE,ResetForward,Disabled,FALSE,TRUE,9.750000
03:18:41.989 PM 02/28/2015,Teleop Enabled,0.000000,28.000000,12.100000,1.178194,-0.000000,0.000000,0.000000,0.000000,0.000000,-372.000000,FALSE,-0.500000,2.250000,TRUE,TRUE,ResetForward,Disabled,FALSE,TRUE,9.718750
03:18:42.090 PM 02/28/2015,Teleop Enabled,0.000000,28.000000,12.150000,1.174800,-0.000000,0.000000,0.000000,0.000000,0.000000,-392.000000,FALSE,-0.500000,2.250000,TRUE,TRUE,ResetForward,Disabled,FALSE,TRUE,9.750000
03:18:42.190 PM 02/28/2015,Teleop Enabled,0.000000,35.000000,12.200000,1.169519,-0.000000,0.000000,0.000000,0.000000,0.000000,-412.750000,FALSE,-0.500000,2.250000,TRUE,TRUE,ResetForward,Disabled,FALSE,TRUE,9.750000
03:18:42.290 PM 02/28/2015,Teleop Enabled,0.000000,20.000000,12.200000,1.173768,-0.000000,0.000000,0.000000,0.000000,0.000000,-429.250000,FALSE,-0.500000,2.250000,TRUE,TRUE,ResetForward,Disabled,FALSE,TRUE,9.750000
03:18:42.391 PM 02/28/2015,Teleop Enabled,0.000000,19.000000,12.200000,1.183055,-0.000000,0.000000,0.000000,0.000000,0.000000,-445.750000,FALSE,0.150000,2.250000,TRUE,TRUE,ResetBack,Disabled,FALSE,TRUE,9.656250
03:18:42.493 PM 02/28/2015,Teleop Enabled,0.000000,19.000000,12.200000,1.182856,-0.000000,0.000000,0.000000,0.000000,0.000000,-443.750000,FALSE,0.150000,2.625000,TRUE,TRUE,ResetBack,Disabled,FALSE,TRUE,9.843750
03:18:42.594 PM 02/28/2015,Teleop Enabled,0.000000,21.000000,12.150000,1.174804,-0.000000,0.000000,0.000000,0.000000,0.000000,-441.250000,FALSE,0.150000,2.250000,TRUE,TRUE,ResetBack,Disabled,FALSE,TRUE,9.750000
03:18:42.695 PM 02/28/2015,Teleop Enabled,0.000000,19.000000,12.150000,1.172920,-0.000000,0.000000,0.000000,0.000000,0.000000,-438.250000,FALSE,0.150000,2.250000,TRUE,TRUE,ResetBack,Disabled,FALSE,TRUE,9.812500
03:18:42.796 PM 02/28/2015,Teleop Enabled,0.000000,21.000000,12.100000,1.164386,-0.000000,0.000000,0.000000,0.000000,0.000000,-436.000000,FALSE,0.150000,2.250000,TRUE,TRUE,ResetBack,Disabled,FALSE,TRUE,9.750000
03:18:42.896 PM 02/28/2015,Teleop Enabled,0.000000,21.000000,12.050000,1.156962,-0.000000,0.000000,0.000000,0.000000,0.000000,-433.750000,FALSE,0.150000,2.250000,TRUE,TRUE,ResetBack,Disabled,FALSE,TRUE,9.750000
03:18:42.997 PM 02/28/2015,Teleop Enabled,0.000000,32.000000,12.100000,1.158004,-0.000000,0.000000,0.000000,0.000000,360.000000,-431.500000,FALSE,0.150000,2.250000,TRUE,TRUE,ResetBack,Disabled,FALSE,TRUE,9.812500
03:18:43.097 PM 02/28/2015,Teleop Enabled,0.000000,27.000000,12.150000,1.155588,-0.000000,0.000000,0.000000,0.000000,360.000000,-429.250000,FALSE,0.150000,2.250000,TRUE,TRUE,ResetBack,Disabled,FALSE,TRUE,9.812500
03:18:43.198 PM 02/28/2015,Teleop Enabled,0.000000,19.000000,12.150000,1.168515,-0.000000,0.000000,0.000000,0.000000,360.000000,-426.750000,FALSE,0.150000,2.250000,TRUE,TRUE,ResetBack,Disabled,FALSE,TRUE,9.812500
03:18:43.299 PM 02/28/2015,Teleop Enabled,0.000000,20.000000,12.150000,1.172896,-0.000000,0.000000,0.000000,0.000000,360.000000,-424.750000,FALSE,0.000000,2.250000,TRUE,TRUE,ZeroEncoderAndTarget,Disabled,FALSE,TRUE,9.750000
03:18:43.400 PM 02/28/2015,Teleop Enabled,0.000000,10.000000,12.150000,1.167048,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,TRUE,0.018750,2.250000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.750000
03:18:43.501 PM 02/28/2015,Teleop Enabled,0.000000,19.000000,12.150000,1.158308,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,TRUE,0.000000,2.250000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.718750
03:18:43.601 PM 02/28/2015,Teleop Enabled,0.000000,19.000000,12.150000,1.173183,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,TRUE,0.000000,2.250000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.718750
03:18:43.701 PM 02/28/2015,Teleop Enabled,0.000000,27.000000,12.100000,1.173471,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,TRUE,0.000000,2.250000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.656250
03:18:43.802 PM 02/28/2015,Teleop Enabled,0.000000,24.000000,12.100000,1.177206,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,TRUE,0.000000,2.250000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.812500
03:18:43.903 PM 02/28/2015,Teleop Enabled,0.000000,26.000000,12.150000,1.164529,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,TRUE,0.000000,2.250000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.812500
03:18:44.004 PM 02/28/2015,Teleop Enabled,0.000000,25.000000,12.050000,1.172038,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,TRUE,0.000000,2.250000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.812500
03:18:44.104 PM 02/28/2015,Teleop Enabled,0.000000,23.000000,12.100000,1.169014,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,TRUE,0.000000,2.250000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.750000
03:18:44.205 PM 02/28/2015,Teleop Enabled,0.000000,20.000000,12.150000,1.172476,-0.000000,0.000000,0.000000,0.000000,360.000000,0.000000,FALSE,0.950000,2.250000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.718750
03:18:44.305 PM 02/28/2015,Teleop Enabled,0.000000,20.000000,11.600000,1.180324,-0.000000,0.000000,0.000000,0.000000,360.000000,13.250000,FALSE,0.950000,26.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.031250
03:18:44.406 PM 02/28/2015,Teleop Enabled,0.000000,20.000000,11.950000,1.179527,-0.000000,0.000000,0.000000,0.000000,360.000000,43.500000,FALSE,0.950000,9.375000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.937500
03:18:44.506 PM 02/28/2015,Teleop Enabled,0.000000,20.000000,11.950000,1.187375,-0.000000,0.000000,0.000000,0.000000,360.000000,74.750000,FALSE,0.950000,7.750000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.750000
03:18:44.607 PM 02/28/2015,Teleop Enabled,0.000000,21.000000,11.950000,1.174800,-0.000000,0.000000,0.000000,0.000000,360.000000,106.000000,FALSE,0.950000,6.875000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.750000
03:18:44.708 PM 02/28/2015,Teleop Enabled,0.000000,14.000000,11.950000,1.178249,-0.000000,0.000000,0.000000,0.000000,360.000000,137.000000,FALSE,0.950000,7.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.718750
03:18:44.808 PM 02/28/2015,Teleop Enabled,0.000000,19.000000,11.900000,1.181086,-0.000000,0.000000,0.000000,0.000000,360.000000,168.250000,FALSE,0.950000,7.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.718750
03:18:44.909 PM 02/28/2015,Teleop Enabled,0.000000,20.000000,11.850000,1.175501,-0.000000,0.000000,0.000000,0.000000,360.000000,199.250000,FALSE,0.950000,6.125000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.718750
03:18:45.010 PM 02/28/2015,Teleop Enabled,0.000000,20.000000,11.900000,1.184070,-0.000000,0.000000,0.000000,0.000000,360.000000,230.000000,FALSE,0.950000,7.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.656250
03:18:45.110 PM 02/28/2015,Teleop Enabled,0.000000,14.000000,11.900000,1.183024,-0.000000,0.000000,0.000000,0.000000,360.000000,261.250000,FALSE,0.950000,7.125000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.656250
03:18:45.211 PM 02/28/2015,Teleop Enabled,0.000000,20.000000,11.950000,1.198808,-0.000000,0.000000,0.000000,0.000000,360.000000,292.250000,FALSE,0.950000,7.125000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.718750
03:18:45.313 PM 02/28/2015,Teleop Enabled,0.000000,20.000000,11.950000,1.207387,-0.000000,0.000000,0.000000,0.000000,360.000000,323.000000,FALSE,0.950000,7.500000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.656250
03:18:45.414 PM 02/28/2015,Teleop Enabled,0.000000,20.000000,12.250000,1.194751,-0.000000,0.000000,0.000000,0.000000,360.000000,353.000000,FALSE,-0.046500,7.125000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.718750
03:18:45.516 PM 02/28/2015,Teleop Enabled,0.000000,12.000000,12.100000,1.193134,-0.000000,0.000000,0.000000,0.000000,360.000000,359.000000,TRUE,0.088125,2.250000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.593750
03:18:45.617 PM 02/28/2015,Teleop Enabled,0.000000,21.000000,12.100000,1.194293,-0.000000,0.000000,0.000000,0.000000,360.000000,359.000000,TRUE,0.054625,2.250000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.593750
03:18:45.717 PM 02/28/2015,Teleop Enabled,0.000000,19.000000,12.100000,1.189812,-0.000000,0.000000,0.000000,0.000000,360.000000,359.500000,TRUE,0.057750,2.250000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.656250
03:18:45.819 PM 02/28/2015,Teleop Enabled,0.000000,23.000000,12.050000,1.188103,-0.000000,0.000000,0.000000,0.000000,360.000000,359.500000,TRUE,0.059000,2.250000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.718750
03:18:45.919 PM 02/28/2015,Teleop Enabled,0.000000,20.000000,12.050000,1.179657,-0.000000,0.000000,0.000000,0.000000,360.000000,359.500000,TRUE,0.060250,2.250000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.718750
03:18:46.020 PM 02/28/2015,Teleop Enabled,0.000000,19.000000,12.050000,1.169653,-0.000000,0.000000,0.000000,0.000000,360.000000,359.500000,TRUE,0.061500,2.250000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.750000
03:18:46.121 PM 02/28/2015,Teleop Enabled,0.000000,19.000000,12.050000,1.170846,-0.000000,0.000000,0.000000,0.000000,360.000000,359.500000,TRUE,0.062750,2.250000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.750000
03:18:46.223 PM 02/28/2015,Teleop Enabled,0.000000,19.000000,12.100000,1.169998,-0.000000,0.000000,0.000000,0.000000,360.000000,359.500000,TRUE,0.064000,2.250000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.718750
03:18:46.323 PM 02/28/2015,Teleop Enabled,0.000000,19.000000,12.100000,1.162540,-0.000000,0.000000,0.000000,0.000000,360.000000,359.500000,TRUE,0.065250,2.250000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.750000
03:18:46.424 PM 02/28/2015,Teleop Enabled,0.000000,20.000000,12.100000,1.170900,-0.000000,0.000000,0.000000,0.000000,360.000000,359.500000,TRUE,0.066500,2.250000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.656250
03:18:46.525 PM 02/28/2015,Teleop Enabled,0.000000,20.000000,12.050000,1.167981,-0.000000,0.000000,0.000000,0.000000,360.000000,359.500000,TRUE,0.067750,2.250000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.718750
03:18:46.626 PM 02/28/2015,Teleop Enabled,0.000000,20.000000,12.050000,1.168785,-0.000000,0.000000,0.000000,0.000000,360.000000,359.500000,TRUE,0.069000,2.250000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.656250
03:18:46.727 PM 02/28/2015,Teleop Enabled,0.000000,20.000000,12.100000,1.174906,-0.000000,0.000000,0.000000,0.000000,360.000000,359.500000,TRUE,0.070250,2.250000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.656250
03:18:46.827 PM 02/28/2015,Teleop Enabled,0.000000,20.000000,12.100000,1.177767,-0.000000,0.000000,0.000000,0.000000,360.000000,359.500000,TRUE,0.071500,2.250000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.718750
03:18:46.929 PM 02/28/2015,Teleop Enabled,0.000000,20.000000,12.100000,1.175214,-0.000000,0.000000,0.000000,0.000000,360.000000,359.500000,TRUE,0.072750,2.250000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.656250
03:18:47.029 PM 02/28/2015,Teleop Enabled,0.000000,20.000000,12.100000,1.176441,-0.000000,0.000000,0.000000,0.000000,360.000000,359.500000,TRUE,0.074000,2.250000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.656250
03:18:47.130 PM 02/28/2015,Teleop Enabled,0.000000,20.000000,12.050000,1.175894,-0.000000,0.000000,0.000000,0.000000,360.000000,359.500000,TRUE,0.075250,2.250000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.718750
03:18:47.231 PM 02/28/2015,Teleop Enabled,0.000000,21.000000,12.150000,1.174742,-0.000000,0.000000,0.000000,0.000000,360.000000,359.500000,TRUE,0.076500,2.250000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.750000
03:18:47.332 PM 02/28/2015,Teleop Enabled,0.000000,20.000000,12.150000,1.177159,-0.000000,0.000000,0.000000,0.000000,360.000000,359.500000,TRUE,0.077750,2.250000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.718750
03:18:47.434 PM 02/28/2015,Teleop Enabled,0.000000,20.000000,12.150000,1.186855,-0.000000,0.000000,0.000000,0.000000,360.000000,359.500000,TRUE,0.079000,2.250000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,9.656250
