Time,RobotMode,AutoToRun,LoopTime,BatteryVoltage,Gyro,LeftMotor,LeftEncoder,RightMotor,RightEncoder,PIDTarget,PIDCurrent,PIDINPosition,ElevatorMotorValue,ElevatorAmperage,TopOvertravel,ButtomOvertravel,PIDCurrentState,AutoStackState,GripperState,CompressorStatus,CompressorAmperage
07:55:45.328 PM 04/14/2015,Teleop Enabled,0.000000,21.000000,12.800000,0.929674,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,TRUE,0.000000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,13.656250
07:55:45.429 PM 04/14/2015,Teleop Enabled,0.000000,26.000000,12.600000,0.930453,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,TRUE,0.000000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,6.531250
07:55:45.531 PM 04/14/2015,Teleop Enabled,0.000000,23.000000,12.550000,0.936848,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,TRUE,0.000000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,6.343750
07:55:45.631 PM 04/14/2015,Teleop Enabled,0.000000,28.000000,12.550000,0.933745,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,TRUE,0.000000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,6.375000
07:55:45.733 PM 04/14/2015,Teleop Enabled,0.000000,28.000000,12.600000,0.936715,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,TRUE,0.000000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,6.375000
07:55:45.833 PM 04/14/2015,Teleop Enabled,0.000000,28.000000,12.600000,0.935871,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,TRUE,0.000000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,6.375000
07:55:45.933 PM 04/14/2015,Teleop Enabled,0.000000,19.000000,12.600000,0.931803,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,TRUE,0.000000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,6.437500
07:55:46.034 PM 04/14/2015,Teleop Enabled,0.000000,29.000000,12.600000,0.931677,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,TRUE,0.000000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,6.437500
07:55:46.136 PM 04/14/2015,Teleop Enabled,0.000000,28.000000,12.600000,0.931161,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,TRUE,0.000000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,6.468750
07:55:46.236 PM 04/14/2015,Teleop Enabled,0.000000,23.000000,12.550000,0.936503,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,TRUE,0.000000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,6.468750
