Time,RobotMode,AutoToRun,LoopTime,BatteryVoltage,Gyro,LeftMotor,LeftEncoder,RightMotor,RightEncoder,PIDTarget,PIDCurrent,PIDINPosition,ElevatorMotorValue,ElevatorAmperage,TopOvertravel,ButtomOvertravel,PIDCurrentState,AutoStackState,GripperState,CompressorStatus,CompressorAmperage, ErrorStatus, ErrorCode, ErrorSource
08:33:34.501 PM 04/14/2015,Teleop Enabled,0.000000,14.000000,12.750000,0.516240,-0.000000,0.000000,0.000000,0.000000,0.000000,8.500000,FALSE,0.300000,0.000000,TRUE,TRUE,ResetBack,Disabled,FALSE,FALSE,0.000000,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
08:33:34.601 PM 04/14/2015,Teleop Enabled,0.000000,21.000000,12.700000,0.521493,-0.000000,0.000000,0.000000,0.000000,0.000000,18.000000,FALSE,-0.470000,3.750000,TRUE,TRUE,PIDControl,Disabled,FALSE,FALSE,0.000000,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
08:33:34.703 PM 04/14/2015,Teleop Enabled,0.000000,20.000000,12.450000,0.519545,-0.000000,0.000000,0.000000,0.000000,0.000000,-6.250000,TRUE,0.213000,3.750000,TRUE,TRUE,PIDControl,Disabled,FALSE,FALSE,0.000000,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
08:33:34.802 PM 04/14/2015,Teleop Enabled,0.000000,19.000000,12.700000,0.526846,-0.000000,0.000000,0.000000,0.000000,0.000000,-5.000000,FALSE,0.162750,8.375000,TRUE,TRUE,PIDControl,Disabled,FALSE,FALSE,0.000000,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
08:33:34.903 PM 04/14/2015,Teleop Enabled,0.000000,19.000000,12.700000,0.520998,-0.000000,0.000000,0.000000,0.000000,0.000000,-3.250000,TRUE,0.168000,3.375000,TRUE,TRUE,PIDControl,Disabled,FALSE,FALSE,0.000000,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
08:33:35.002 PM 04/14/2015,Teleop Enabled,0.000000,19.000000,12.700000,0.521852,-0.000000,0.000000,0.000000,0.000000,0.000000,-2.750000,TRUE,0.186000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,FALSE,0.000000,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
08:33:35.102 PM 04/14/2015,Teleop Enabled,0.000000,20.000000,12.650000,0.506211,-0.000000,0.000000,0.000000,0.000000,0.000000,-1.500000,TRUE,0.168500,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,FALSE,0.000000,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
08:33:35.202 PM 04/14/2015,Teleop Enabled,0.000000,20.000000,12.700000,0.507873,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.250000,TRUE,0.139000,3.625000,TRUE,TRUE,PIDControl,Disabled,FALSE,FALSE,0.000000,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
08:33:35.302 PM 04/14/2015,Teleop Enabled,0.000000,21.000000,12.750000,0.505661,-0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,TRUE,0.130750,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,FALSE,0.000000,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
08:33:35.402 PM 04/14/2015,Teleop Enabled,0.000000,19.000000,12.750000,0.506235,-0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,TRUE,0.128250,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,FALSE,0.000000,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
08:33:35.502 PM 04/14/2015,Teleop Enabled,0.000000,20.000000,11.700000,0.514076,-0.000000,0.000000,0.000000,0.000000,14.500000,23.500000,TRUE,1.000000,0.000000,TRUE,TRUE,ManualControl,Disabled,FALSE,FALSE,0.000000,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
