Time,RobotMode,AutoToRun,LoopTime,BatteryVoltage,Gyro,LeftMotor,LeftEncoder,RightMotor,RightEncoder,PIDTarget,PIDCurrent,PIDINPosition,ElevatorMotorValue,ElevatorAmperage,TopOvertravel,ButtomOvertravel,PIDCurrentState,AutoStackState,GripperState,CompressorStatus,CompressorAmperage, ErrorStatus, ErrorCode, ErrorSource
07:01:54.477 PM 04/16/2015,Teleop Enabled,0.000000,20.000000,12.300000,329.674229,-0.000000,0.000000,0.000000,5.026548,0.000000,0.000000,TRUE,0.000000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,12.718750,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
07:01:54.577 PM 04/16/2015,Teleop Enabled,0.000000,22.000000,12.550000,331.018834,-0.000000,0.000000,0.000000,5.026548,0.000000,0.000000,TRUE,0.000000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,6.812500,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
07:01:54.679 PM 04/16/2015,Teleop Enabled,0.000000,19.000000,12.550000,332.359310,-0.000000,0.000000,0.000000,5.026548,0.000000,0.000000,TRUE,0.000000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,6.593750,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
07:01:54.778 PM 04/16/2015,Teleop Enabled,0.000000,14.000000,12.550000,333.694341,-0.000000,0.000000,0.000000,5.026548,0.000000,0.000000,TRUE,0.000000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,6.687500,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
07:01:54.880 PM 04/16/2015,Teleop Enabled,0.000000,20.000000,12.550000,335.294576,-0.000000,0.000000,0.000000,5.026548,0.000000,0.000000,TRUE,0.000000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,6.687500,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
07:01:54.979 PM 04/16/2015,Teleop Enabled,0.000000,20.000000,12.500000,336.353407,-0.000000,0.000000,0.000000,5.026548,0.000000,0.000000,TRUE,0.000000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,6.812500,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
07:01:55.078 PM 04/16/2015,Teleop Enabled,0.000000,20.000000,12.550000,337.683606,-0.000000,0.000000,0.000000,5.026548,0.000000,0.000000,TRUE,0.000000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,6.875000,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
07:01:55.178 PM 04/16/2015,Teleop Enabled,0.000000,20.000000,12.550000,339.022858,-0.000000,0.000000,0.000000,5.026548,0.000000,0.000000,TRUE,0.000000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,6.906250,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
07:01:55.278 PM 04/16/2015,Teleop Enabled,0.000000,21.000000,12.550000,340.364356,-0.000000,0.000000,0.000000,5.026548,0.000000,0.000000,TRUE,0.000000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,6.968750,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
07:01:55.378 PM 04/16/2015,Teleop Enabled,0.000000,21.000000,12.550000,341.702060,-0.000000,0.000000,0.000000,5.026548,0.000000,0.000000,TRUE,0.000000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,6.968750,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
07:01:55.478 PM 04/16/2015,Teleop Enabled,0.000000,20.000000,12.550000,343.037798,-0.000000,0.000000,0.000000,5.026548,0.000000,0.000000,TRUE,0.000000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,6.968750,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
07:01:55.581 PM 04/16/2015,Teleop Enabled,0.000000,19.000000,12.500000,344.641608,-0.000000,0.000000,0.000000,5.026548,0.000000,0.000000,TRUE,0.000000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,7.000000,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
07:01:55.680 PM 04/16/2015,Teleop Enabled,0.000000,20.000000,12.500000,345.981260,-0.000000,0.000000,0.000000,5.026548,0.000000,0.000000,TRUE,0.000000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,7.062500,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
07:01:55.781 PM 04/16/2015,Teleop Enabled,0.000000,20.000000,12.450000,347.326549,-0.000000,0.000000,0.000000,5.026548,0.000000,0.000000,TRUE,0.000000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,7.218750,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
07:01:55.882 PM 04/16/2015,Teleop Enabled,0.000000,21.000000,12.450000,348.394189,-0.000000,0.000000,0.000000,5.026548,0.000000,0.000000,TRUE,0.000000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,7.156250,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
07:01:55.982 PM 04/16/2015,Teleop Enabled,0.000000,21.000000,12.450000,350.000477,-0.000000,0.000000,0.000000,5.026548,0.000000,0.000000,TRUE,0.000000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,7.218750,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
07:01:56.083 PM 04/16/2015,Teleop Enabled,0.000000,21.000000,12.500000,351.356337,-0.000000,0.000000,0.000000,5.026548,0.000000,0.000000,TRUE,0.000000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,7.218750,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
07:01:56.184 PM 04/16/2015,Teleop Enabled,0.000000,21.000000,12.500000,352.694749,-0.000000,0.000000,0.000000,5.026548,0.000000,0.000000,TRUE,0.000000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,7.312500,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
07:01:56.284 PM 04/16/2015,Teleop Enabled,0.000000,21.000000,12.500000,354.030364,-0.000000,0.000000,0.000000,5.026548,0.000000,0.000000,TRUE,0.000000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,7.343750,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
07:01:56.384 PM 04/16/2015,Teleop Enabled,0.000000,19.000000,12.450000,355.373957,-0.000000,0.000000,0.000000,5.026548,0.000000,0.000000,TRUE,0.000000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,7.406250,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
07:01:56.486 PM 04/16/2015,Teleop Enabled,0.000000,21.000000,12.500000,356.709771,-0.000000,0.000000,0.000000,5.026548,0.000000,0.000000,TRUE,0.000000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,7.343750,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
07:01:56.586 PM 04/16/2015,Teleop Enabled,0.000000,16.000000,12.450000,358.038831,-0.000000,0.000000,0.000000,5.026548,0.000000,0.000000,TRUE,0.000000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,7.406250,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
07:01:56.686 PM 04/16/2015,Teleop Enabled,0.000000,22.000000,12.450000,359.378343,-0.000000,0.000000,0.000000,5.026548,0.000000,0.000000,TRUE,0.000000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,7.437500,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
07:01:56.786 PM 04/16/2015,Teleop Enabled,0.000000,19.000000,12.450000,0.720979,-0.000000,0.000000,0.000000,5.026548,0.000000,0.000000,TRUE,0.000000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,7.437500,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
07:01:56.887 PM 04/16/2015,Teleop Enabled,0.000000,21.000000,12.400000,2.059575,-0.000000,0.000000,0.000000,5.026548,0.000000,0.000000,TRUE,0.000000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,7.531250,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
07:01:56.987 PM 04/16/2015,Teleop Enabled,0.000000,20.000000,12.400000,3.380972,-0.000000,0.000000,0.000000,5.026548,0.000000,0.000000,TRUE,0.000000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,7.531250,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
07:01:57.087 PM 04/16/2015,Teleop Enabled,0.000000,19.000000,12.450000,4.723099,-0.000000,0.000000,0.000000,5.026548,0.000000,0.000000,TRUE,0.000000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,7.531250,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
07:01:57.187 PM 04/16/2015,Teleop Enabled,0.000000,19.000000,12.450000,6.065089,-0.000000,0.000000,0.000000,5.026548,0.000000,0.000000,TRUE,0.000000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,7.531250,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
07:01:57.287 PM 04/16/2015,Teleop Enabled,0.000000,19.000000,12.450000,7.405746,-0.000000,0.000000,0.000000,5.026548,0.000000,0.000000,TRUE,0.000000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,7.625000,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
07:01:57.388 PM 04/16/2015,Teleop Enabled,0.000000,21.000000,12.450000,8.752115,-0.000000,0.000000,0.000000,5.026548,0.000000,0.000000,TRUE,0.000000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,7.531250,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
07:01:57.488 PM 04/16/2015,Teleop Enabled,0.000000,19.000000,12.450000,10.081646,-0.000000,0.000000,0.000000,5.026548,0.000000,0.000000,TRUE,0.000000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,7.625000,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
07:01:57.589 PM 04/16/2015,Teleop Enabled,0.000000,21.000000,12.450000,11.399772,-0.000000,0.000000,0.000000,5.026548,0.000000,0.000000,TRUE,0.000000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,7.687500,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
07:01:57.689 PM 04/16/2015,Teleop Enabled,0.000000,20.000000,12.400000,12.750095,-0.000000,0.000000,0.000000,5.026548,0.000000,0.000000,TRUE,0.000000,0.000000,TRUE,TRUE,PIDControl,Disabled,FALSE,TRUE,7.687500,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
