Time,RobotMode,AutoToRun,LoopTime,BatteryVoltage,Gyro,LeftMotor,LeftEncoder,RightMotor,RightEncoder,PIDTarget,PIDCurrent,PIDINPosition,ElevatorMotorValue,ElevatorAmperage,TopOvertravel,ButtomOvertravel,PIDCurrentState,AutoStackState,GripperState,CompressorStatus,CompressorAmperage
08:36:25.323 PM 04/08/2015,Teleop Enabled,0.000000,21.000000,12.700000,0.008060,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,TRUE,0.000000,0.000000,TRUE,FALSE,ManualControl,Disabled,TRUE,FALSE,0.968750
08:36:25.424 PM 04/08/2015,Teleop Enabled,0.000000,23.000000,12.650000,0.022552,-0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,TRUE,0.300000,0.000000,TRUE,FALSE,ResetBack,Disabled,TRUE,FALSE,0.968750
08:36:25.524 PM 04/08/2015,Teleop Enabled,0.000000,20.000000,12.650000,0.027163,-0.000000,0.000000,0.000000,0.000000,-1.000000,-0.250000,TRUE,0.000000,2.500000,TRUE,FALSE,ManualControl,Disabled,TRUE,FALSE,0.968750
08:36:25.626 PM 04/08/2015,Teleop Enabled,0.000000,25.000000,12.650000,0.018231,-0.000000,-0.039270,0.000000,-0.039270,-1.000000,-0.500000,TRUE,0.000000,0.000000,TRUE,FALSE,ManualControl,Disabled,TRUE,FALSE,0.968750
08:36:25.727 PM 04/08/2015,Teleop Enabled,0.000000,27.000000,12.650000,0.032519,-0.000000,-0.039270,0.000000,-0.039270,-1.000000,-0.500000,TRUE,0.000000,0.000000,TRUE,FALSE,ManualControl,Disabled,TRUE,FALSE,0.968750
08:36:25.834 PM 04/08/2015,Teleop Enabled,0.000000,20.000000,12.650000,0.044755,-0.000000,-0.039270,0.000000,-0.039270,-1.000000,-0.500000,TRUE,0.000000,0.000000,TRUE,FALSE,ManualControl,Disabled,TRUE,FALSE,0.968750
08:36:25.935 PM 04/08/2015,Teleop Enabled,0.000000,13.000000,12.650000,0.048648,-0.000000,-0.039270,0.000000,-0.039270,-1.000000,-0.500000,TRUE,0.000000,0.000000,TRUE,FALSE,ManualControl,Disabled,TRUE,FALSE,0.968750
08:36:26.037 PM 04/08/2015,Teleop Enabled,0.000000,13.000000,12.700000,0.051980,-0.000000,-0.039270,0.000000,-0.039270,-1.000000,-0.500000,TRUE,0.000000,0.000000,TRUE,FALSE,ManualControl,Disabled,TRUE,FALSE,0.968750
08:36:26.137 PM 04/08/2015,Teleop Enabled,0.000000,11.000000,12.650000,0.052931,-0.000000,-0.039270,0.000000,-0.039270,-1.000000,-0.500000,TRUE,0.000000,0.000000,TRUE,FALSE,ManualControl,Disabled,TRUE,FALSE,0.968750
08:36:26.237 PM 04/08/2015,Teleop Enabled,0.000000,17.000000,12.650000,0.043941,-0.000000,-0.039270,0.000000,-0.039270,-1.000000,-0.500000,TRUE,0.000000,0.000000,TRUE,FALSE,ManualControl,Disabled,TRUE,FALSE,0.968750
