Time,RobotMode,AutoToRun,LoopTime,BatteryVoltage,Gyro,LeftMotor,LeftEncoder,RightMotor,RightEncoder,PIDTarget,PIDCurrent,PIDINPosition,ElevatorMotorValue,ElevatorAmperage,TopOvertravel,ButtomOvertravel,PIDCurrentState,AutoStackState,GripperState,CompressorStatus,CompressorAmperage, ErrorStatus, ErrorCode, ErrorSource
06:17:06.235 PM 04/22/2015,Teleop Enabled,0.000000,20.000000,12.900000,359.106683,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,TRUE,0.000000,0.000000,TRUE,FALSE,ManualControl,Disabled,FALSE,FALSE,0.968750,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
06:17:06.335 PM 04/22/2015,Teleop Enabled,0.000000,19.000000,12.550000,359.115990,-0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,TRUE,0.000000,0.000000,TRUE,FALSE,ManualControl,Disabled,FALSE,TRUE,11.125000,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
06:17:06.435 PM 04/22/2015,Teleop Enabled,0.000000,21.000000,12.700000,359.107586,-0.000000,0.000000,0.000000,0.000000,-1.000000,-1.000000,TRUE,0.000000,2.750000,TRUE,FALSE,ManualControl,Disabled,FALSE,TRUE,6.656250,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
06:17:06.536 PM 04/22/2015,Teleop Enabled,0.000000,16.000000,12.750000,359.104646,-0.000000,0.000000,0.000000,0.000000,-1.000000,-1.000000,TRUE,0.000000,0.000000,TRUE,FALSE,ManualControl,Disabled,FALSE,TRUE,6.062500,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
06:17:06.636 PM 04/22/2015,Teleop Enabled,0.000000,13.000000,12.700000,359.121681,-0.000000,0.000000,0.000000,0.000000,-1.000000,-1.000000,TRUE,0.000000,0.000000,TRUE,FALSE,ManualControl,Disabled,FALSE,TRUE,6.031250,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
06:17:06.736 PM 04/22/2015,Teleop Enabled,0.000000,16.000000,12.700000,359.109964,-0.000000,0.000000,0.000000,0.000000,-1.000000,-1.000000,TRUE,0.000000,0.000000,TRUE,FALSE,ManualControl,Disabled,FALSE,TRUE,6.093750,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
06:17:06.837 PM 04/22/2015,Teleop Enabled,0.000000,19.000000,12.700000,359.108102,-0.000000,0.000000,0.000000,0.000000,-1.000000,-1.000000,TRUE,0.000000,0.000000,TRUE,FALSE,ManualControl,Disabled,FALSE,TRUE,6.093750,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
06:17:06.937 PM 04/22/2015,Teleop Enabled,0.000000,20.000000,12.650000,359.114996,-0.000000,0.000000,0.000000,0.000000,-1.000000,-1.000000,TRUE,0.000000,0.000000,TRUE,FALSE,ManualControl,Disabled,FALSE,TRUE,6.250000,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
06:17:07.038 PM 04/22/2015,Teleop Enabled,0.000000,20.000000,12.650000,359.112504,-0.000000,0.000000,0.000000,0.000000,-1.000000,-1.000000,TRUE,0.000000,0.000000,TRUE,FALSE,ManualControl,Disabled,FALSE,TRUE,6.187500,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
06:17:07.137 PM 04/22/2015,Teleop Enabled,0.000000,21.000000,12.650000,359.096173,-0.000000,0.000000,0.000000,0.000000,-1.000000,-1.000000,TRUE,0.000000,0.000000,TRUE,FALSE,ManualControl,Disabled,FALSE,TRUE,6.156250,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
